"","Panther_ID","Panther_Name"
"3530","PTHR33696","FLZ-TYPE DOMAIN-CONTAINING PROTEIN"
"3531","PTHR42681","BLL0263 PROTEIN"
"3532","PTHR47354","NAD(P)H-FLAVIN REDUCTASE"
"3533","PTHR34224","INTERACTOR OF CONSTITUTIVE ACTIVE ROPS 1"
"3534","PTHR37610","FBD PROTEIN"
"3535","PTHR31441","FOLLICULIN FAMILY MEMBER"
"3536","PTHR46558","HTH-TYPE TRANSCRIPTIONAL REGULATOR IMMR"
"3537","PTHR12258","14 KDA PHOSPHOHISTIDINE PHOSPHATASE"
"3538","PTHR31205","DUF569 DOMAIN-CONTAINING PROTEIN"
"3539","PTHR12329","BAG FAMILY MOLECULAR CHAPERONE REGULATOR 3"
"3540","PTHR12040","HISTONE CHAPERONE ASF1A"
"3541","PTHR24251","NEUROPILIN AND TOLLOID-LIKE PROTEIN 2"
"3542","PTHR36848","SECRETED PROTEIN"
"3543","PTHR23216","NUCLEOLAR AND COILED-BODY PHOSPHOPROTEIN 1"
"3544","PTHR46899","PROTEIN PHOSPHATASE 1 REGULATORY SUBUNIT 27"
"3545","PTHR13055","TUMOR ENDOTHELIAL MARKER 7 RELATED"
"3546","PTHR43050","SERINE / THREONINE RACEMASE FAMILY MEMBER"
"3547","PTHR48118","SPINDLE AND KINETOCHORE-ASSOCIATED PROTEIN 3"
"3548","PTHR11653","ONCOMODULIN-2-RELATED"
"3549","PTHR46869","C2H2-LIKE ZINC FINGER PROTEIN"
"3550","PTHR43079","HMA DOMAIN-CONTAINING PROTEIN"
"3551","PTHR31899","BETA-CAROTENE 3-HYDROXYLASE"
"3552","PTHR35083","RGD1565685 PROTEIN"
"3553","PTHR31390","BNAA10G27440D PROTEIN"
"3554","PTHR11973","BASAL CELL ADHESION MOLECULE"
"3555","PTHR39666","SUBFAMILY NOT NAMED"
"3556","PTHR45927","LYSM DOMAIN RECEPTOR-LIKE KINASE 4"
"3557","PTHR20986","FMRFAMIDE-RELATED PEPTIDES"
"3558","PTHR31113","BNAC09G51110D PROTEIN"
"3559","PTHR10300","CALCIPRESSIN-1"
"3560","PTHR10782","CHROMATIN REGULATOR PHD FAMILY"
"3561","PTHR22895","ARMADILLO REPEAT-CONTAINING PROTEIN 6"
"3562","PTHR46909","LARGE RIBOSOMAL SUBUNIT PROTEIN BL36M"
"3563","PTHR34138","CELL SHAPE-DETERMINING PROTEIN MREC"
"3564","PTHR15896","GOLGI PHOSPHOPROTEIN 2/GP73-RELATED"
"3565","PTHR43176","3-HYDROXYISOBUTYRYL-COA HYDROLASE-LIKE PROTEIN 3, MITOCHONDRIAL"
"3566","PTHR43317","PABS DOMAIN-CONTAINING PROTEIN"
"3567","PTHR46503","VON WILLEBRAND FACTOR, TYPE A-RELATED"
"3568","PTHR31246","MYOSIN II HEAVY CHAIN FAMILY PROTEIN"
"3569","PTHR13084","SODIUM_POTASSIUM-TRANSPORTING ATPASE SUBUNIT BETA-1-INTERACTING PROTEIN 3"
"3570","PTHR46856","PX DOMAIN-CONTAINING PROTEIN"
"3571","PTHR31360","OIL BODY-ASSOCIATED PROTEIN 2A"
"3572","PTHR21680","COILED-COIL DOMAIN-CONTAINING PROTEIN 124"
"3573","PTHR43875","SN-GLYCEROL-3-PHOSPHATE IMPORT ATP-BINDING PROTEIN UGPC"
"3574","PTHR31501","CALCIUM RELEASE-ACTIVATED CALCIUM CHANNEL PROTEIN 1"
"3575","PTHR35993","OUTER ENVELOPE PORE PROTEIN 21B, CHLOROPLASTIC"
"3576","PTHR47778","GLYCOSYL TRANSFERASE FAMILY 1 DOMAIN-CONTAINING PROTEIN"
"3577","PTHR11278","40S RIBOSOMAL PROTEIN S7"
"3578","PTHR14963","RHO GTPASE-ACTIVATING PROTEIN 40"
"3579","PTHR12994","LD30995P"
"3580","PTHR46080","MITOCHONDRIAL SUBSTRATE CARRIER FAMILY PROTEIN J"
"3581","PTHR23160","OS04G0592400 PROTEIN"
"3582","PTHR28021","PRESEQUENCE TRANSLOCATED-ASSOCIATED MOTOR SUBUNIT PAM17, MITOCHONDRIAL"
"3583","PTHR34042","TRANSCRIPTION REPRESSOR OFP17-LIKE"
"3584","PTHR46779","BETA-16-GALACTOSYLTRANSFERASE GALT29A"
"3585","PTHR20981","GENOME ASSEMBLY, CHROMOSOME: A08"
"3586","PTHR42470","VAST DOMAIN-CONTAINING PROTEIN"
"3587","PTHR12997","ENDONUCLEASE_EXONUCLEASE_PHOSPHATASE FAMILY PROTEIN"
"3588","PTHR47448","MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1"
"3589","PTHR31024","VWFA DOMAIN-CONTAINING PROTEIN"
"3590","PTHR36763","EXPRESSED PROTEIN"
"3591","PTHR47273","POLLEN OLE E 1 ALLERGEN AND EXTENSIN FAMILY PROTEIN"
"3592","PTHR31916","CYTOSOLIC INVERTASE 1"
"3593","PTHR33128","PROTEIN, PUTATIVE-RELATED"
"3594","PTHR24200","TOUCAN, ISOFORM A"
"3595","PTHR16932","INTERFERON ALPHA-INDUCIBLE PROTEIN 6"
"3596","PTHR30570","PHOSPHATE-BINDING PROTEIN PSTS"
"3597","PTHR30337","COMPONENT OF ATP-DEPENDENT DSDNA EXONUCLEASE"
"3598","PTHR43622","3-DEHYDROQUINATE SYNTHASE"
"3599","PTHR34281","EARLY FLOWERING 3"
"3600","PTHR39321","PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE"
"3601","PTHR19847","LEC14B HOMOLOG"
"3602","PTHR43280","RESPONSE REGULATOR"
"3603","PTHR13341","PAP-ASSOCIATED DOMAIN-CONTAINING PROTEIN"
"3604","PTHR12245","SPRY DOMAIN-CONTAINING SOCS BOX PROTEIN 3"
"3605","PTHR13367","UBIQUITIN THIOESTERASE"
"3606","PTHR23319","VAST DOMAIN-CONTAINING PROTEIN"
"3607","PTHR43054","FAMILY NOT NAMED"
"3608","PTHR42908","TRANSLATION ELONGATION FACTOR-RELATED"
"3609","PTHR34132","METHYLTRANSFERASE-LIKE PROTEIN"
"3610","PTHR35471","OS07G0223700 PROTEIN"
"3611","PTHR38527","OS01G0838200 PROTEIN"
"3612","PTHR33593","ACT DOMAIN-CONTAINING PROTEIN"
"3613","PTHR36964","PROTEIN-METHIONINE-SULFOXIDE REDUCTASE HEME-BINDING SUBUNIT MSRQ"
"3614","PTHR12143","ALPHA-1,2-MANNOSIDASE FAMILY PROTEIN (AFU_ORTHOLOGUE AFUA_5G10520)"
"3615","PTHR43113","1,4-DIHYDROXY-2-NAPHTHOYL-COA SYNTHASE, PEROXISOMAL"
"3616","PTHR10840","PROGRAMMED CELL DEATH PROTEIN 5"
"3617","PTHR46890","REVERSE TRANSCRIPTASE DOMAIN-CONTAINING PROTEIN"
"3618","PTHR13748","COBW DOMAIN-CONTAINING PROTEIN"
"3619","PTHR22550","VWFA DOMAIN-CONTAINING PROTEIN"
"3620","PTHR23279","DEFECTIVE PROBOSCIS EXTENSION RESPONSE 18"
"3621","PTHR37564","KINETOPLAST DNA-ASSOCIATED PROTEIN"
"3622","PTHR21427","UBIQUINONE BIOSYNTHESIS PROTEIN"
"3623","PTHR11866","PROSTAGLANDIN D2 RECEPTOR"
"3624","PTHR10791","BIDIRECTIONAL SUGAR TRANSPORTER SWEET"
"3625","PTHR11247","ZGC:66024"
"3626","PTHR45722","LARGE RIBOSOMAL SUBUNIT PROTEIN UL29-RELATED"
"3627","PTHR10498","PARALEMMIN-1"
"3628","PTHR48024","HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A0"
"3629","PTHR46832","5'-METHYLTHIOADENOSINE_S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE"
"3630","PTHR33431","(RAPE) HYPOTHETICAL PROTEIN"
"3631","PTHR11544","Y-BOX-BINDING PROTEIN 2"
"3632","PTHR11412","ALPHA-2-MACROGLOBULIN-RELATED"
"3633","PTHR46058","BRX DOMAIN-CONTAINING PROTEIN"
"3634","PTHR43379","CYS_MET METABOLISM PLP-DEPENDENT ENZYME FAMILY PROTEIN"
"3635","PTHR46873","EXPRESSED PROTEIN"
"3636","PTHR33430","CASP-LIKE PROTEIN"
"3637","PTHR13126","CHAPERONE ATP11"
"3638","PTHR19850","GUANINE NUCLEOTIDE-BINDING PROTEIN G(I)_G(S)_G(T) SUBUNIT BETA-2"
"3639","PTHR45947","TRANSFERASE"
"3640","PTHR46919","ZINC FINGER, C3HC4 TYPE (RING FINGER) FAMILY PROTEIN"
"3641","PTHR43841","3-HYDROXYACYL-THIOESTER DEHYDRATASE HTDX-RELATED"
"3642","PTHR11455","OS02G0573200 PROTEIN"
"3643","PTHR38338","AGAP013079-PA"
"3644","PTHR30060","INNER MEMBRANE PROTEIN"
"3645","PTHR36868","NUTRITIONALLY-REGULATED ADIPOSE AND CARDIAC ENRICHED PROTEIN HOMOLOG"
"3646","PTHR31675","AXIAL REGULATOR YABBY 2"
"3647","PTHR42902","MALATE SYNTHASE"
"3648","PTHR42336","THIOREDOXIN DOMAIN-CONTAINING PROTEIN-RELATED"
"3649","PTHR40053","SPORULATION-CONTROL PROTEIN SPO0M"
"3650","PTHR31879","DET1- AND DDB1-ASSOCIATED PROTEIN 1"
"3651","PTHR33227","STIGMA-SPECIFIC STIG1 FAMILY PROTEIN"
"3652","PTHR31136","2-OXOADIPATE DIOXYGENASE_DECARBOXYLASE"
"3653","PTHR43314","FERREDOXIN--NADP REDUCTASE, CHLOROPLASTIC"
"3654","PTHR12454","TRIMERIC INTRACELLULAR CATION CHANNEL TYPE A"
"3655","PTHR13586","CHROMOSOME UNDETERMINED SCAFFOLD_51, WHOLE GENOME SHOTGUN SEQUENCE"
"3656","PTHR11705","CARBOXYPEPTIDASE B"
"3657","PTHR11824","VOLTAGE-DEPENDENT L-TYPE CALCIUM CHANNEL SUBUNIT BETA-4"
"3658","PTHR47252","GLYCOSYLTRANSFERASE"
"3659","PTHR45921","IP01054P"
"3660","PTHR31492","M CELL-TYPE AGGLUTINATION PROTEIN MAM3-RELATED"
"3661","PTHR12132","DNA REPAIR PROTEIN RAD59"
"3662","PTHR30069","OAR PROTEIN"
"3663","PTHR46211","PHOSPHODIESTERASE"
"3664","PTHR23506","SOLUTE CARRIER FAMILY 18 (VESICULAR MONOAMINE), MEMBER 2"
"3665","PTHR42805","PTERIN-4-ALPHA-CARBINOLAMINE DEHYDRATASE-RELATED"
"3666","PTHR21366","GLYOXALASE-LIKE DOMAIN-CONTAINING PROTEIN"
"3667","PTHR46705","DOMAIN OF UNKNOWN FUNCTION DB DOMAIN-CONTAINING PROTEIN"
"3668","PTHR34267","SUBFAMILY NOT NAMED"
"3669","PTHR37744","STAR LIPID TRANSFER-LIKE PROTEIN"
"3670","PTHR34466","OS11G0129800 PROTEIN"
"3671","PTHR10351","NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT BETA"
"3672","PTHR28019","SUR7 PROTEIN"
"3673","PTHR19331","DELETED IN MALIGNANT BRAIN TUMORS 1 PROTEIN"
"3674","PTHR43357","FE(3+)-TRANSPORT SYSTEM PERMEASE PROTEIN FBPB 2"
"3675","PTHR34660","SUBFAMILY NOT NAMED"
"3676","PTHR21180","TYPE II SECRETION SYSTEM PROTEIN K"
"3677","PTHR31648","CARBOHYDRATE BINDING DOMAIN-CONTAINING PROTEIN"
"3678","PTHR39594","PROTEIN YCHQ"
"3679","PTHR43721","ELONGATION FACTOR TU"
"3680","PTHR43532","GLUCOSE-1-PHOSPHATE THYMIDYLYLTRANSFERASE 2"
"3681","PTHR24339","E5-RELATED"
"3682","PTHR48226","WAS_WASL-INTERACTING PROTEIN FAMILY MEMBER 1"
"3683","PTHR45934","FAD-BINDING DOMAIN-CONTAINING PROTEIN"
"3684","PTHR15380","CLN5-LIKE PROTEIN 1-RELATED"
"3685","PTHR47932","MIOREX COMPLEX COMPONENT 1"
"3686","PTHR30614","L-CYSTINE TRANSPORT SYSTEM PERMEASE PROTEIN TCYL"
"3687","PTHR15756","TRANSMEMBRANE PROTEIN 176A"
"3688","PTHR33393","POLYGLUTAMINE SYNTHESIS ACCESSORY PROTEIN RV0574C-RELATED"
"3689","PTHR43141","CYTOCHROME BD-II UBIQUINOL OXIDASE SUBUNIT 2"
"3690","PTHR45029","CARBOXYLIC ESTER HYDROLASE-RELATED"
"3691","PTHR43411","ADENYLOSUCCINATE LYASE"
"3692","PTHR43227","ARABINOOLIGOSACCHARIDES TRANSPORT SYSTEM PERMEASE PROTEIN ARAP"
"3693","PTHR40036","MACROCIN O-METHYLTRANSFERASE"
"3694","PTHR47632","FMRFAMIDE PEPTIDE RECEPTOR FAMILY-RELATED"
"3695","PTHR17085","NUCLEAR COACTIVATOR DOMAIN-CONTAINING PROTEIN"
"3696","PTHR35704","(RAPE) HYPOTHETICAL PROTEIN"
"3697","PTHR13009","ACTIVATOR OF 90 KDA HEAT SHOCK PROTEIN ATPASE HOMOLOG 2-RELATED"
"3698","PTHR20902","TRAFFICKING PROTEIN PARTICLE COMPLEX SUBUNIT"
"3699","PTHR37202","SUBFAMILY NOT NAMED"
"3700","PTHR47183","GLUCOSE-1-PHOSPHATE CYTIDYLYLTRANSFERASE-RELATED"
"3701","PTHR35546","F-BOX DOMAIN-CONTAINING PROTEIN"
"3702","PTHR22798","MALIGNANT T-CELL-AMPLIFIED SEQUENCE"
"3703","PTHR14360","COILED-COIL DOMAIN CONTAINING 90B"
"3704","PTHR43015","D-RIBITOL-5-PHOSPHATE CYTIDYLYLTRANSFERASE"
"3705","PTHR10492","ATP-DEPENDENT DNA HELICASE"
"3706","PTHR14699","TETRATRICOPEPTIDE REPEAT PROTEIN 21B"
"3707","PTHR46927","THAP-TYPE DOMAIN-CONTAINING PROTEIN"
"3708","PTHR42785","DNA TOPOISOMERASE, TYPE IA, CORE"
"3709","PTHR35178","CUB DOMAIN-CONTAINING PROTEIN-RELATED"
"3710","PTHR43386","PUTRESCINE EXPORT SYSTEM PERMEASE PROTEIN SAPC"
"3711","PTHR38626","CUB DOMAIN-CONTAINING PROTEIN"
"3712","PTHR37960","BZIP DOMAIN-CONTAINING PROTEIN"
"3713","PTHR43181","2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE, CHLOROPLASTIC"
"3714","PTHR24051","SUSHI DOMAIN-CONTAINING PROTEIN 1"
"3715","PTHR28544","PROTEIN FAM45A-RELATED"
"3716","PTHR46123","DOUBLE HOMEOBOX PROTEIN B"
"3717","PTHR10962","INTEGRAL MEMBRANE PROTEIN 2"
"3718","PTHR33832","PROTEINASE INHIBITOR TYPE-2 CEVI57"
"3719","PTHR13371","CENTROSOMAL PROTEIN OF 104 KDA"
"3720","PTHR30469","RAGD PROTEIN"
"3721","PTHR47435","JACALIN-TYPE LECTIN DOMAIN-CONTAINING PROTEIN"
"3722","PTHR34710","SUBFAMILY NOT NAMED"
"3723","PTHR47634","SRSF PROTEIN KINASE 3"
"3724","PTHR23292","LITAF DOMAIN-CONTAINING PROTEIN"
"3725","PTHR23198","PEPTIDASE S59 DOMAIN-CONTAINING PROTEIN"
"3726","PTHR45681","POLYKETIDE SYNTHASE 44-RELATED"
"3727","PTHR39405","DSC E3 UBIQUITIN LIGASE COMPLEX SUBUNIT 4"
"3728","PTHR11963","LEUCINE AMINOPEPTIDASE-RELATED"
"3729","PTHR46164","CYCLIC AMP-DEPENDENT TRANSCRIPTION FACTOR ATF-6 ALPHA"
"3730","PTHR21603","ANTIGEN KI-67-LIKE PROTEIN"
"3731","PTHR30249","HOLIN-LIKE PROTEIN CIDB"
"3732","PTHR21047","DTDP-6-DEOXY-D-GLUCOSE-3,5 EPIMERASE"
"3733","PTHR30582","L,D-TRANSPEPTIDASE YQJB-RELATED"
"3734","PTHR46277","CRAL-TRIO DOMAIN-CONTAINING PROTEIN"
"3735","PTHR11467","HISTONE H1.0"
"3736","PTHR31005","DUF4139 DOMAIN-CONTAINING PROTEIN"
"3737","PTHR11710","LOW QUALITY PROTEIN: 40S RIBOSOMAL PROTEIN S19-3-LIKE"
"3738","PTHR23013","7TM GPCR SERPENTINE RECEPTOR CLASS X (SRX) DOMAIN-CONTAINING PROTEIN"
"3739","PTHR21072","GPI TRANSAMIDASE COMPONENT PIG-S"
"3740","PTHR12920","RING1 AND YY1-BINDING PROTEIN"
"3741","PTHR47483","BETA-ARABINOFURANOSYLTRANSFERASE RAY1"
"3742","PTHR11409","ADENOSINE DEAMINASE"
"3743","PTHR10917","DNA-DIRECTED RNA POLYMERASE I, II"
"3744","PTHR16771","OS01G0316800 PROTEIN"
"3745","PTHR33512","PROTEIN, PUTATIVE (DUF1191)-RELATED"
"3746","PTHR38010","SLR0848 PROTEIN"
"3747","PTHR23092","NUCLEOTIDYLTRANSFERASE FAMILY PROTEIN"
"3748","PTHR24304","CYTOCHROME P450 FAMILY 7"
"3749","PTHR16277","SERTA DOMAIN-CONTAINING PROTEIN 3"
"3750","PTHR11474","TYROSINASE COPPER-BINDING DOMAIN-CONTAINING PROTEIN"
"3751","PTHR35757","THERMOSOME SUBUNIT GAMMA"
"3752","PTHR45683","MITOCHONDRIAL NICOTINAMIDE ADENINE DINUCLEOTIDE TRANSPORTER 1-RELATED-RELATED"
"3753","PTHR39228","LORICRIN"
"3754","PTHR40758","CONSERVED PROTEIN"
"3755","PTHR24219","LIM DOMAIN-CONTAINING PROTEIN JUB"
"3756","PTHR17416","SMALL MUSCULAR PROTEIN"
"3757","PTHR36313","PROTEIN GOLVEN 5"
"3758","PTHR20875","EF-HAND DOMAIN-CONTAINING PROTEIN"
"3759","PTHR33722","CATION CHANNEL SPERM-ASSOCIATED AUXILIARY SUBUNIT DELTA"
"3760","PTHR32552","TONB-DEPENDENT RECEPTOR-RELATED"
"3761","PTHR16501","MITOCHONDRIAL FISSION FACTOR"
"3762","PTHR10052","60S RIBOSOMAL PROTEIN L18A"
"3763","PTHR38622","SERPENTINE RECEPTOR, CLASS T"
"3764","PTHR24333","HOMEOBOX PROTEIN CEH-62"
"3765","PTHR43669","5-KETO-D-GLUCONATE 5-REDUCTASE"
"3766","PTHR46626","RETICULON-LIKE PROTEIN"
"3767","PTHR21723","PROTEIN RIC-3"
"3768","PTHR42773","SLR0630 PROTEIN"
"3769","PTHR12878","NADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX SUBUNIT 2"
"3770","PTHR36040","SUBFAMILY NOT NAMED"
"3771","PTHR15438","SUBFAMILY NOT NAMED"
"3772","PTHR12403","SNARE-LIKE SUPERFAMILY PROTEIN"
"3773","PTHR11633","PLATELET-DERIVED GROWTH FACTOR C"
"3774","PTHR44086","THIOSULFATE SULFURTRANSFERASE_RHODANESE-LIKE DOMAIN-CONTAINING PROTEIN 1-RELATED"
"3775","PTHR33271","OS02G0620400 PROTEIN"
"3776","PTHR18952","CARBONIC ANHYDRASE-RELATED PROTEIN A, ISOFORM B"
"3777","PTHR48099","C-1-TETRAHYDROFOLATE SYNTHASE, CYTOPLASMIC"
"3778","PTHR47114","OLIGODENDROCYTE-MYELIN GLYCOPROTEIN"
"3779","PTHR44156","GUANINE NUCLEOTIDE-BINDING BETA SUBUNIT-LIKE PROTEIN"
"3780","PTHR34890","SUBFAMILY NOT NAMED"
"3781","PTHR12305","PHOSPHATIDYLINOSITOL-3,4,5-TRISPHOSPHATE 3-PHOSPHATASE"
"3782","PTHR38103","RECOMBINATION-ASSOCIATED PROTEIN RDGC"
"3783","PTHR47823","ION_TRANS DOMAIN-CONTAINING PROTEIN"
"3784","PTHR28047","PROTEIN DCG1"
"3785","PTHR36355","EXPRESSED PROTEIN"
"3786","PTHR14503","RIBOSOMAL PROTEIN L34"
"3787","PTHR30268","L-RHAMNOSE ISOMERASE"
"3788","PTHR46984","LEUCINE-RICH REPEAT-CONTAINING PROTEIN 71"
"3789","PTHR43163","DIPEPTIDE TRANSPORT SYSTEM PERMEASE PROTEIN DPPB-RELATED"
"3790","PTHR10663","ARF GUANYL-NUCLEOTIDE EXCHANGE FACTOR-RELATED"
"3791","PTHR47575","ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 10"
"3792","PTHR10869","FE2OG DIOXYGENASE DOMAIN-CONTAINING PROTEIN"
"3793","PTHR13044","BZIP DOMAIN-CONTAINING PROTEIN"
"3794","PTHR12758","APOPTOSIS INHIBITOR 5"
"3795","PTHR46708","FIBRONECTIN TYPE-III DOMAIN-CONTAINING PROTEIN"
"3796","PTHR10104","STATHMIN"
"3797","PTHR30319","TRANSCRIPTIONAL REPRESSOR PAAX"
"3798","PTHR47405","SERPENTINE RECEPTOR, CLASS H"
"3799","PTHR30282","P-AMINOBENZOYL GLUTAMATE TRANSPORTER"
"3800","PTHR28637","DNA REPLICATION FACTOR CDT1"
"3801","PTHR12224","BETA-1,4-MANNOSYL-GLYCOPROTEIN 4-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE-LIKE ISOFORM X1"
"3802","PTHR34271","WIYLD DOMAIN-CONTAINING PROTEIN"
"3803","PTHR35460","EXOCYST SUBUNIT EXO70 FAMILY PROTEIN"
"3804","PTHR30543","NAD(P)H DEHYDROGENASE (QUINONE)"
"3805","PTHR43839","OPPC IN A BINDING PROTEIN-DEPENDENT TRANSPORT SYSTEM"
"3806","PTHR13602","UPF0488 PROTEIN C8ORF33"
"3807","PTHR23107","CHROMOSOME UNDETERMINED SCAFFOLD_8, WHOLE GENOME SHOTGUN SEQUENCE"
"3808","PTHR10383","SERINE INCORPORATOR 1"
"3809","PTHR43735","FAD_NAD(P)-BINDING DOMAIN-CONTAINING PROTEIN"
"3810","PTHR31890","PECTINESTERASE INHIBITOR DOMAIN-CONTAINING PROTEIN"
"3811","PTHR32261","CALCIUM HOMEOSTASIS MODULATOR PROTEIN 2"
"3812","PTHR11135","HISTONE ACETYLTRANSFERASE-RELATED"
"3813","PTHR46194","PEPTIDYL-TRNA HYDROLASE PTRHD1-RELATED"
"3814","PTHR43943","TROPINONE REDUCTASE-LIKE 3"
"3815","PTHR24207","FILAMIN-BINDING LIM PROTEIN 1"
"3816","PTHR43415","SPERMIDINE N(1)-ACETYLTRANSFERASE"
"3817","PTHR11472","SLR1495 PROTEIN"
"3818","PTHR19443","HEXOKINASE"
"3819","PTHR12427","ATP SYNTHASE E CHAIN, MITOCHONDRIAL"
"3820","PTHR31917","AGENET DOMAIN-CONTAINING PROTEIN"
"3821","PTHR35851","CELL DIVISION PROTEIN FTSQ"
"3822","PTHR16926","INTERLEUKIN-9"
"3823","PTHR22981","3-HYDROXYISOBUTYRATE DEHYDROGENASE, MITOCHONDRIAL"
"3824","PTHR48165","GENOME ASSEMBLY, CHROMOSOME: A04"
"3825","PTHR10822","GLYPICAN-3"
"3826","PTHR33272","ACB DOMAIN-CONTAINING PROTEIN"
"3827","PTHR32021","CASP-LIKE PROTEIN"
"3828","PTHR46780","PROTEIN EVA-1 HOMOLOG C"
"3829","PTHR34044","SUBFAMILY NOT NAMED"
"3830","PTHR43270","BETA-ALA-HIS DIPEPTIDASE-LIKE"
"3831","PTHR44027","DNAJ HOMOLOG SUBFAMILY C MEMBER 5B"
"3832","PTHR34046","RAPIDLY ELICITED PROTEIN, PUTATIVE-RELATED"
"3833","PTHR31871","ANGIOTENSIN-CONVERTING ENZYME 2"
"3834","PTHR34920","B-CELL LYMPHOMA/LEUKEMIA 10"
"3835","PTHR28082","CHY-TYPE DOMAIN-CONTAINING PROTEIN"
"3836","PTHR11129","PROTEIN PRENYLTRANSFERASE ALPHA SUBUNIT REPEAT-CONTAINING PROTEIN 1"
"3837","PTHR15599","ARMADILLO REPEAT-CONTAINING DOMAIN-CONTAINING PROTEIN"
"3838","PTHR31694","STRESS RESPONSE PROTEIN RDS1P"
"3839","PTHR46057","FLZ-TYPE DOMAIN-CONTAINING PROTEIN"
"3840","PTHR10901","LEIOMODIN-1"
"3841","PTHR38940","OS01G0775100 PROTEIN"
"3842","PTHR23202","GALACTOSE OXIDASE"
"3843","PTHR11515","GLYCOPROTEIN HORMONE BETA-5"
"3844","PTHR46971","EF-HAND DOMAIN-CONTAINING PROTEIN"
"3845","PTHR24567","HTH-TYPE TRANSCRIPTIONAL REGULATOR ARCR"
"3846","PTHR22899","F-BOX ASSOCIATED DOMAIN-CONTAINING PROTEIN-RELATED"
"3847","PTHR36898","OSJNBB0026I12.6 PROTEIN"
"3848","PTHR33924","SUBFAMILY NOT NAMED"
"3849","PTHR38926","F-BOX DOMAIN-CONTAINING PROTEIN"
"3850","PTHR12297","HIG1 DOMAIN FAMILY MEMBER 2A, MITOCHONDRIAL"
"3851","PTHR24164","RELA-ASSOCIATED INHIBITOR"
"3852","PTHR33983","OS03G0799400 PROTEIN"
"3853","PTHR36059","OS02G0175800 PROTEIN"
"3854","PTHR46476","CHITINASE"
"3855","PTHR48234","GH09231P-RELATED"
"3856","PTHR31422","GTD-BINDING DOMAIN-CONTAINING PROTEIN"
"3857","PTHR12549","LYSINE-SPECIFIC DEMETHYLASE JMJ29"
"3858","PTHR43567","HYPOTHETICAL CYTOSOLIC PROTEIN"
"3859","PTHR33452","INNER MEMBRANE PROTEIN YPHA-RELATED"
"3860","PTHR37831","D-RIBOSE PYRANASE"
"3861","PTHR12553","RIBONUCLEASE Z"
"3862","PTHR13696","PLASMID PARTITION PROTEIN A"
"3863","PTHR13322","INTEGRATOR COMPLEX SUBUNIT 7"
"3864","PTHR46324","GENOME ASSEMBLY, CHROMOSOME: A06"
"3865","PTHR15923","IMMUNOGLOBULIN-LIKE DOMAIN-CONTAINING RECEPTOR 2"
"3866","PTHR23177","RHO GTPASE-ACTIVATING PROTEIN 4"
"3867","PTHR41791","SSL7039 PROTEIN"
"3868","PTHR48171","VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 62"
"3869","PTHR42738","HYDROXYMETHYLGLUTARYL-COA LYASE, MITOCHONDRIAL"
"3870","PTHR46086","GENOME ASSEMBLY, CHROMOSOME: A09"
"3871","PTHR10639","CLATHRIN LIGHT CHAIN"
"3872","PTHR13407","E3 UBIQUITIN LIGASE RNF121"
"3873","PTHR33164","MARR-FAMILY TRANSCRIPTIONAL REGULATOR"
"3874","PTHR12936","ANAPHASE-PROMOTING COMPLEX SUBUNIT 10"
"3875","PTHR37468","SULFATE TRANSPORTER CYSZ"
"3876","PTHR34251","LEUCINE, GLUTAMATE AND LYSINE RICH 1"
"3877","PTHR14463","LIPASE MATURATION FACTOR 1"
"3878","PTHR11014","IAA-AMINO ACID HYDROLASE ILR1-LIKE 9"
"3879","PTHR10658","MEMBRANE-ASSOCIATED PHOSPHATIDYLINOSITOL TRANSFER PROTEIN 2"
"3880","PTHR22435","CHROMOSOME 6 OPEN READING FRAME 222"
"3881","PTHR39153","AGR244WP"
"3882","PTHR37726","TRANSMEMBRANE PROTEIN"
"3883","PTHR10367","MRNA GUANYLYLTRANSFERASE"
"3884","PTHR23044","3'-5' EXONUCLEASE ERI1-RELATED"
"3885","PTHR48111","RESPONSE REGULATOR RPPA"
"3886","PTHR22593","TRANSMEMBRANE PROTEIN 18"
"3887","PTHR24278","HYALURONAN-BINDING PROTEIN 2"
"3888","PTHR46124","HYDROLASE"
"3889","PTHR34071","FLAVIN-NUCLEOTIDE-BINDING PROTEIN"
"3890","PTHR24214","PDZ AND LIM DOMAIN PROTEIN ZASP"
"3891","PTHR12145","MANNAN ENDO-1,6-ALPHA-MANNOSIDASE"
"3892","PTHR15217","FKBP12-INTERACTING PROTEIN OF 37 KDA"
"3893","PTHR34272","OS01G0693100 PROTEIN"
"3894","PTHR34252","CENTRIOLAR SATELLITE-ASSOCIATED TUBULIN POLYGLUTAMYLASE COMPLEX REGULATOR 1"
"3895","PTHR15556","EP300-INTERACTING INHIBITOR OF DIFFERENTIATION 2B"
