"","UniqueSequenceName","Diamond_Hit","Diamond_Percentage_Identity","Diamond_length","Diamond_E_value","Diamond_BitScore","Diamond_qframe"
"573","EB5_PN_TRINITY_DN2415_c2_g1_i3.p2","CAI9741841.1",54.2,325,5.97e-107,341,0
"574","EB10_PN_TRINITY_DN1808_c0_g2_i2.p1","CAE1298140.1",80.1,267,2.29e-162,462,0
"575","EB1_MH_TRINITY_DN51312_c7_g4_i3.p1","XP_029646485.1",59.8,281,6.14e-111,335,0
"576","EB10_PN_TRINITY_DN57902_c0_g1_i1.p1","CAE1277609.1",50.8,189,2.14e-60,197,0
"577","EB6_PN_TRINITY_DN5378_c0_g1_i7.p1","CAE1266295.1",80.7,471,2.67e-301,832,0
"578","EB10_PN_TRINITY_DN2715_c0_g2_i1.p1","CAE1271263.1",71.4,91,2.83e-31,125,0
"579","ES1_JR_TRINITY_DN31040_c0_g1_i1.p1","XP_014787454.1",61.3,411,1.16e-174,518,0
"580","ES2_JR_TRINITY_DN2830_c0_g1_i1.p1","CAH1244689.1",37,376,6.61e-71,239,0
"581","ES1_JR_TRINITY_DN84771_c0_g1_i1.p1","CAE1314595.1",68.9,264,1.32e-130,404,0
"582","ES1_JR_TRINITY_DN113_c0_g1_i2.p1","XP_014779194.1",31.4,883,1.66e-83,295,0
"583","ES1_JR_TRINITY_DN30712_c0_g1_i1.p1","XP_014771098.1",62.1,351,6.47e-157,459,0
"584","ES2_JR_TRINITY_DN4716_c6_g1_i1.p1","CAE1298785.1",57.6,738,5.68e-301,845,0
"585","ES2_JR_TRINITY_DN18549_c0_g1_i2.p1","CAE1306498.1",64.8,475,8.23e-194,573,0
"586","ES1_JR_TRINITY_DN30373_c1_g1_i1.p1","XP_052823476.1",80.2,242,1.46e-128,409,0
"587","ES2_JR_TRINITY_DN4212_c0_g1_i1.p1","XP_029633661.1",60.4,604,7.78e-229,677,0
"588","ES2_JR_TRINITY_DN20558_c0_g3_i1.p1","XP_014781599.1",68.9,251,7.17e-123,370,0
"589","ES1_JR_TRINITY_DN30373_c1_g1_i2.p1","XP_052823476.1",80.3,290,9.99e-158,489,0
"590","ES1_JR_TRINITY_DN6297_c0_g1_i1.p1","XP_036368671.1",39,341,3.89e-86,279,0
"591","ES1_JR_TRINITY_DN54756_c0_g1_i4.p1","XP_029635402.1",61,526,1.7e-238,674,0
"592","ES1_JR_TRINITY_DN1501_c0_g1_i1.p1","XP_014767467.1",67.4,552,1.05e-266,748,0
"593","ES1_JR_TRINITY_DN2219_c0_g3_i3.p1","CAE1271131.1",64.5,251,4.55e-111,351,0
"594","ES2_JR_TRINITY_DN2387_c0_g1_i1.p1","XP_029651218.1",59.8,306,1.03e-125,372,0
"595","ES1_JR_TRINITY_DN2219_c0_g3_i2.p1","CAE1271131.1",56.1,301,2.9e-111,351,0
"596","ES2_JR_TRINITY_DN200_c0_g2_i1.p1","CAE1316801.1",65.8,336,7.66e-150,440,0
"597","ES1_JR_TRINITY_DN1077_c0_g1_i1.p1","XP_029636028.1",45.1,809,3.52e-225,666,0
"598","ES2_JR_TRINITY_DN45961_c0_g1_i1.p1","XP_014785291.1",76.7,116,1.97e-49,183,0
"599","ES1_JR_TRINITY_DN19042_c0_g1_i1.p1","CAE1257679.1",86.6,314,5.64e-202,565,0
"600","ES1_JR_TRINITY_DN500_c0_g1_i3.p1","QVQ68751.1",71.6,313,1.26e-162,470,0
"601","ES2_JR_TRINITY_DN29689_c1_g1_i1.p1","QHI00146.1",66.7,354,1.15e-152,476,0
"602","ES2_JR_TRINITY_DN29689_c1_g1_i4.p1","QHI00146.1",67.7,427,7.41e-196,593,0
"603","ES1_JR_TRINITY_DN48_c5_g1_i1.p1","CAE1316801.1",71.6,395,2.51e-201,573,0
"604","ES2_JR_TRINITY_DN17125_c0_g1_i1.p1","CAE1313910.1",77.9,353,5.8e-203,574,0
"605","ES2_JR_TRINITY_DN44877_c0_g1_i1.p1","CAE1148092.1",87.4,350,1.08e-231,654,0
"606","ES1_JR_TRINITY_DN118938_c0_g1_i1.p1","XP_014769334.1",32.8,134,9.34e-12,71.2,0
"607","ES1_JR_TRINITY_DN4746_c1_g1_i2.p1","WOE89250.1",43.4,145,9.14e-27,108,0
"608","ES2_JR_TRINITY_DN12043_c0_g1_i8.p1","CAE1304236.1",70.7,283,2.75e-75,247,0
"609","ES2_JR_TRINITY_DN138980_c0_g1_i1.p1","XP_014786108.1",64.2,215,7.73e-84,261,0
"610","ES1_JR_TRINITY_DN3713_c1_g1_i1.p2","XP_029633790.1",69.5,151,1.57e-66,212,0
"611","ES1_JR_TRINITY_DN15838_c0_g2_i3.p1","CAI9739653.1",71.8,163,1.54e-76,241,0
"612","ES1_JR_TRINITY_DN15838_c0_g2_i1.p1","CAI9739653.1",79.2,149,6.3e-82,254,0
"613","ES1_JR_TRINITY_DN5021_c0_g1_i6.p1","CAE1331777.1",84.3,216,2.84e-115,368,0
"614","ES1_JR_TRINITY_DN64413_c0_g1_i1.p1","XP_029641000.1",61.9,616,1.1e-289,813,0
"615","ES2_JR_TRINITY_DN1244_c0_g1_i3.p1","XP_029633790.1",68.7,201,1.23e-89,273,0
"616","ES2_JR_TRINITY_DN46370_c1_g1_i1.p1","CAE1255074.1",77.1,1039,0,1738,0
"617","ES2_JR_TRINITY_DN4628_c0_g1_i1.p1","CAE1231119.1",76.2,277,2.21e-140,410,0
"618","ES2_JR_TRINITY_DN478_c0_g1_i1.p1","XP_052830250.1",45.7,396,3.66e-113,347,0
"619","ES1_JR_TRINITY_DN25828_c0_g1_i6.p1","XP_052823300.1",88.1,679,0,1183,0
"620","ES1_JR_TRINITY_DN1936_c0_g1_i17.p1","CAE1147228.1",84.2,120,4.62e-59,204,0
"621","ES1_JR_TRINITY_DN132155_c0_g1_i1.p1","XP_029640805.1",74.9,630,0,956,0
"622","ES1_JR_TRINITY_DN1936_c0_g1_i5.p1","XP_052827295.1",69,339,7.5e-141,447,0
"623","ES2_JR_TRINITY_DN35386_c0_g1_i3.p1","CAE1323243.1",80.6,470,1.77e-293,815,0
"624","ES1_JR_TRINITY_DN51733_c0_g1_i2.p1","XP_029636875.1",70.7,229,6.13e-112,348,0
"625","ES1_JR_TRINITY_DN189_c6_g1_i1.p1","CAI9739057.1",73.4,440,6.09e-264,735,0
"626","ES1_JR_TRINITY_DN2626_c0_g1_i3.p1","CAE1157554.1",75.3,392,9.87e-186,557,0
"627","ES1_JR_TRINITY_DN85759_c0_g1_i1.p1","CAI9732236.1",62.3,494,7.98e-238,671,0
"628","ES1_JR_TRINITY_DN22996_c2_g1_i3.p1","XP_052823416.1",71.1,598,0,904,0
"629","ES2_JR_TRINITY_DN35368_c1_g1_i3.p1","XP_041350337.1",61.8,249,1.01e-99,302,0
"630","ES1_JR_TRINITY_DN8528_c0_g1_i1.p1","CAE1137474.1",83.4,470,3.27e-293,812,0
"631","ES2_JR_TRINITY_DN26177_c0_g2_i2.p1","XP_014781698.2",61,277,1.22e-109,337,0
"632","ES1_JR_TRINITY_DN28298_c0_g1_i2.p1","XP_029635580.1",85.4,308,2.56e-193,547,0
"633","ES2_JR_TRINITY_DN45961_c0_g1_i2.p1","XP_014785291.1",74.7,162,7.97e-77,258,0
"634","ES2_JR_TRINITY_DN514_c0_g1_i29.p1","CAE1147229.1",65.9,417,2.02e-173,511,0
"635","ES1_JR_TRINITY_DN309_c0_g1_i17.p1","CAE1147228.1",90.8,119,3.24e-68,229,0
"636","ES1_JR_TRINITY_DN4664_c0_g1_i5.p1","CAE1282272.1",84.3,89,4.47e-39,142,0
"637","ES1_JR_TRINITY_DN309_c0_g1_i22.p1","XP_052827290.1",82.6,321,1.27e-175,546,0
"638","ES1_JR_TRINITY_DN52041_c0_g1_i2.p1","CAE1169015.1",48.2,226,4.33e-65,215,0
"639","ES2_JR_TRINITY_DN90238_c0_g1_i1.p1","KAK3084457.1",45.9,172,2.68e-49,169,0
"640","ES1_JR_TRINITY_DN5484_c0_g1_i10.p1","XP_036363965.1",61.8,251,1.4e-109,330,0
"641","ES2_JR_TRINITY_DN7792_c0_g1_i1.p1","XP_036363918.1",78.8,222,8.31e-121,356,0
"642","ES1_JR_TRINITY_DN52041_c0_g1_i1.p1","CAE1169015.1",48.2,226,2.88e-64,215,0
"643","ES1_JR_TRINITY_DN28298_c0_g1_i1.p1","XP_029635580.1",75.9,395,4.02e-211,595,0
"644","ES2_JR_TRINITY_DN683_c1_g1_i9.p1","CAI9720776.1",71.6,415,9.33e-205,583,0
"645","ES1_JR_TRINITY_DN4270_c2_g1_i1.p1","CAE1288317.1",70.9,525,1.42e-292,820,0
"646","ES1_JR_TRINITY_DN12664_c0_g1_i3.p1","CAI9734764.1",82.9,673,0,1160,0
"647","ES2_JR_TRINITY_DN21117_c0_g1_i1.p1","XP_052824233.1",63.6,165,3.24e-71,229,0
"648","ES1_JR_TRINITY_DN11139_c0_g1_i1.p1","CAE1245480.1",68.7,300,1.21e-141,416,0
"649","ES1_JR_TRINITY_DN891_c0_g1_i1.p1","CAE1266505.1",52.6,666,2.62e-193,568,0
"650","ES1_JR_TRINITY_DN737_c0_g1_i1.p1","QHI00148.1",83.2,161,2.65e-93,278,0
"651","ES2_JR_TRINITY_DN1755_c0_g2_i1.p1","CAE1178314.1",82.6,396,6.4e-259,718,0
"652","ES2_JR_TRINITY_DN9180_c0_g1_i4.p1","CAI9728999.1",69.1,712,0,1106,0
"653","ES1_JR_TRINITY_DN1215_c2_g2_i1.p1","XP_029654851.1",73.9,495,5.85e-274,763,0
"654","ES1_JR_TRINITY_DN12942_c0_g2_i5.p1","CAE1323305.1",92.7,150,6.08e-89,280,0
"655","ES1_JR_TRINITY_DN1338_c0_g1_i1.p1","CAE1268834.1",79.5,351,7.71e-205,576,0
"656","ES1_JR_TRINITY_DN6749_c0_g1_i2.p1","CAE1178314.1",77.9,393,6.17e-240,670,0
"657","ES2_JR_TRINITY_DN301_c1_g1_i1.p1","XP_029654851.1",73.9,495,4.12e-274,763,0
"658","ES2_JR_TRINITY_DN3992_c0_g1_i2.p1","CAE1292234.1",84.5,522,0,879,0
"659","ES1_JR_TRINITY_DN19174_c0_g1_i2.p1","XP_029658430.1",81.9,507,6.36e-300,832,0
"660","ES1_JR_TRINITY_DN515_c4_g1_i5.p1","CAI9737811.1",67.7,192,2.81e-93,286,0
"661","ES1_JR_TRINITY_DN59486_c0_g1_i1.p1","CAE1316953.1",83.8,334,3.94e-197,587,0
"662","ES2_JR_TRINITY_DN13301_c0_g1_i11.p1","CAE1248541.1",36.5,600,4.75e-105,338,0
"663","ES1_JR_TRINITY_DN5484_c0_g1_i1.p1","XP_036363965.1",55.6,133,3.39e-45,161,0
"664","ES1_JR_TRINITY_DN17301_c0_g2_i3.p1","CAI9714745.1",40.5,755,4.53e-199,597,0
"665","ES1_JR_TRINITY_DN24284_c0_g1_i4.p1","CAE1160864.1",64.3,1215,0,1520,0
"666","ES1_JR_TRINITY_DN6448_c0_g1_i6.p1","CAE1303696.1",73.4,467,2.05e-244,689,0
"667","ES2_JR_TRINITY_DN1038_c1_g1_i5.p1","CAE1165835.1",93.7,639,0,1247,0
"668","ES2_JR_TRINITY_DN13219_c1_g1_i1.p1","CAE1291509.1",84.1,741,0,1276,0
"669","ES1_JR_TRINITY_DN1438_c0_g1_i1.p1","CAE1323101.1",94,201,2.75e-135,387,0
"670","ES2_JR_TRINITY_DN32633_c0_g1_i5.p1","CAI9723876.1",64.9,485,1.26e-222,633,0
"671","ES1_JR_TRINITY_DN6448_c0_g1_i10.p1","CAE1303696.1",72.8,471,4.58e-247,695,0
"672","ES1_JR_TRINITY_DN454_c0_g1_i2.p1","XP_029634835.1",79.3,706,0,1127,0
"673","ES1_JR_TRINITY_DN78367_c0_g2_i1.p1","CAE1277398.1",82.2,471,1.64e-293,832,0
"674","ES1_JR_TRINITY_DN454_c0_g1_i7.p1","XP_029634835.1",79.4,705,0,1130,0
"675","ES2_JR_TRINITY_DN85044_c0_g1_i1.p1","CAE1290657.1",80.9,309,1.48e-196,553,0
"676","ES1_JR_TRINITY_DN454_c0_g1_i6.p1","XP_052823104.1",86.9,616,0,1121,0
"677","ES2_JR_TRINITY_DN3184_c3_g1_i1.p1","AFV94409.1",99.9,1406,0,2776,0
"678","ES1_JR_TRINITY_DN35811_c0_g1_i1.p1","XP_029636609.1",61.3,142,1.21e-56,184,0
"679","ES1_JR_TRINITY_DN2878_c0_g1_i1.p1","XP_029645037.1",49.2,181,1.69e-52,177,0
"680","ES1_JR_TRINITY_DN27275_c0_g1_i2.p1","CAE1282782.1",76.3,679,0,1067,0
"681","ES1_JR_TRINITY_DN892_c0_g1_i1.p1","CAE1258775.1",87.8,123,3.96e-78,239,0
"682","ES1_JR_TRINITY_DN103211_c0_g1_i1.p1","CAE1286244.1",61.1,339,7.15e-145,423,0
"683","ES1_JR_TRINITY_DN7102_c0_g2_i6.p1","CAI9744003.1",56,116,1.57e-39,141,0
"684","ES2_JR_TRINITY_DN8088_c0_g1_i3.p1","CAE1329647.1",47.6,206,9.86e-48,178,0
"685","ES1_JR_TRINITY_DN15714_c0_g1_i1.p1","XP_014781273.1",63.8,141,1.56e-61,196,0
"686","ES2_JR_TRINITY_DN108150_c0_g1_i1.p1","CAE1286049.1",82.8,443,6.93e-266,740,0
"687","ES1_JR_TRINITY_DN2481_c0_g1_i2.p1","CAE1272941.1",75.6,431,6.21e-240,673,0
"688","ES1_JR_TRINITY_DN63735_c0_g1_i1.p1","CAI9731002.1",84.7,111,5.77e-58,193,0
"689","ES2_JR_TRINITY_DN372_c0_g1_i3.p1","CAI9715155.1",58.4,365,1.26e-161,468,0
"690","ES2_JR_TRINITY_DN1974_c1_g1_i3.p1","CAE1318502.1",89.8,236,1.42e-137,458,0
"691","ES1_JR_TRINITY_DN8925_c0_g1_i5.p1","XP_014784837.1",68.5,723,0,1141,0
"692","ES1_JR_TRINITY_DN776_c0_g1_i3.p1","XP_052832783.1",75.6,332,2.02e-172,495,0
"693","ES1_JR_TRINITY_DN30676_c0_g1_i1.p1","CAE1265924.1",75.3,372,4.34e-215,604,0
"694","ES1_JR_TRINITY_DN4384_c1_g1_i1.p1","CAE1325406.1",87.4,571,0,1028,0
"695","ES1_JR_TRINITY_DN454_c0_g1_i3.p1","XP_052823104.1",86.5,245,4.95e-151,445,0
"696","ES2_JR_TRINITY_DN9998_c0_g1_i1.p1","CAE1311892.1",74.2,151,1.65e-78,246,0
"697","ES2_JR_TRINITY_DN8938_c0_g1_i3.p1","CAE1274102.1",74.3,836,0,1380,0
"698","ES2_JR_TRINITY_DN8088_c0_g1_i6.p1","CAE1329647.1",51.4,346,8.26e-107,340,0
"699","ES1_JR_TRINITY_DN101930_c0_g1_i2.p1","XP_014778626.1",71.4,353,8.64e-193,547,0
"700","ES1_JR_TRINITY_DN118396_c0_g1_i1.p1","CAE1267166.1",87.4,508,0,923,0
"701","ES1_JR_TRINITY_DN1197_c0_g1_i2.p1","AHH31547.1",82.3,158,1.66e-74,230,0
"702","ES1_JR_TRINITY_DN7447_c0_g4_i1.p2","CAE1288601.1",82.3,130,3.36e-65,207,0
"703","ES2_JR_TRINITY_DN49132_c0_g1_i1.p1","XP_029635916.1",43.8,276,1.95e-76,247,0
"704","ES1_JR_TRINITY_DN5021_c1_g2_i1.p1","CAE1328170.1",89.3,253,8.03e-172,488,0
"705","ES1_JR_TRINITY_DN776_c0_g1_i5.p1","CAI9740978.1",74.8,329,1.02e-174,498,0
"706","ES1_JR_TRINITY_DN1197_c0_g1_i1.p1","AHH31546.1",85.7,147,9.24e-69,215,0
"707","ES1_JR_TRINITY_DN12611_c1_g2_i3.p1","CAE1156049.1",79.6,338,8.82e-202,568,0
"708","ES1_JR_TRINITY_DN59622_c0_g1_i1.p1","CAE1303697.1",92.4,198,2.71e-134,388,0
"709","ES1_JR_TRINITY_DN1862_c0_g1_i1.p1","XP_029657579.1",73.3,480,1.09e-256,720,0
"710","ES1_JR_TRINITY_DN59622_c0_g1_i2.p1","CAE1303700.1",92.8,223,3.4e-154,441,0
"711","ES1_JR_TRINITY_DN15639_c0_g1_i1.p1","CAE1293597.1",61.4,298,5.78e-103,315,0
"712","ES2_JR_TRINITY_DN85995_c0_g1_i2.p1","CAE1306566.1",79.7,782,0,1322,0
"713","ES1_JR_TRINITY_DN2400_c0_g1_i1.p1","XP_014774895.1",56.3,487,6.98e-200,575,0
"714","ES2_JR_TRINITY_DN43539_c1_g1_i1.p1","CAE1319312.1",72.3,372,5.21e-185,550,0
"715","ES1_JR_TRINITY_DN8167_c0_g1_i3.p1","CAE1329647.1",56.5,439,6.87e-166,496,0
"716","ES1_JR_TRINITY_DN30887_c0_g1_i9.p1","CAE1297656.1",76.2,353,1.33e-191,543,0
"717","ES2_JR_TRINITY_DN123027_c0_g1_i1.p1","XP_043935577.1",31,129,4.1e-06,57,0
"718","ES2_JR_TRINITY_DN23003_c0_g1_i3.p1","XP_029640264.1",70,697,0,1087,0
"719","ES2_JR_TRINITY_DN23003_c0_g1_i5.p1","XP_029640265.1",68.4,636,0,962,0
"720","ES2_JR_TRINITY_DN23003_c0_g1_i11.p1","XP_029640265.1",69.9,632,0,987,0
"721","ES1_JR_TRINITY_DN1486_c0_g2_i1.p1","XP_029646978.1",37.8,209,2.32e-49,170,0
"722","ES1_JR_TRINITY_DN5533_c3_g1_i1.p1","CAE1294596.1",86.5,171,3.26e-106,323,0
"723","ES2_JR_TRINITY_DN16832_c0_g2_i1.p1","CAE1233746.1",74.9,447,6.29e-256,715,0
"724","ES1_JR_TRINITY_DN103214_c0_g1_i2.p1","KAH7972791.1",52.3,111,6.23e-38,136,0
"725","ES1_JR_TRINITY_DN922_c0_g2_i1.p1","CAE1328800.1",83.9,472,9.62e-301,830,0
"726","ES1_JR_TRINITY_DN34087_c0_g1_i2.p1","CAE1306566.1",81.1,169,2.76e-90,291,0
"727","ES2_JR_TRINITY_DN4276_c0_g2_i2.p1","CAE1258858.1",80.7,305,2.11e-181,517,0
"728","ES1_JR_TRINITY_DN10833_c0_g1_i1.p1","CAE1315989.1",80.4,623,0,1050,0
"729","ES2_JR_TRINITY_DN5952_c0_g1_i4.p1","CAE1266295.1",78.5,158,3.62e-86,272,0
"730","ES2_JR_TRINITY_DN6752_c0_g1_i1.p1","CAE1271263.1",90.8,382,9.79e-255,706,0
"731","ES1_JR_TRINITY_DN9923_c0_g2_i1.p1","CAE1247237.1",87.9,165,4.06e-115,337,0
"732","ES1_JR_TRINITY_DN132081_c0_g1_i1.p1","XP_029649863.1",60.1,542,2.16e-189,552,0
"733","ES1_JR_TRINITY_DN6749_c0_g1_i1.p2","CAE1178315.1",79.7,187,1.43e-112,340,0
"734","ES1_JR_TRINITY_DN3111_c0_g1_i1.p1","CAE1175236.1",88.9,361,2.67e-245,679,0
"735","ES2_JR_TRINITY_DN6444_c1_g1_i2.p1","CAE1157581.1",87.3,189,2.14e-106,326,0
"736","ES1_JR_TRINITY_DN3267_c0_g2_i2.p1","CAE1266295.1",79.2,351,2.63e-216,611,0
"737","ES1_JR_TRINITY_DN101930_c0_g1_i1.p1","XP_014778618.1",68.8,394,8.19e-197,558,0
"738","ES2_JR_TRINITY_DN13868_c0_g4_i12.p1","CAI9737408.1",89.6,115,1.02e-67,224,0
"739","ES2_JR_TRINITY_DN38546_c1_g1_i2.p1","XP_029646879.1",52.7,222,2.61e-80,250,0
"740","ES1_JR_TRINITY_DN2291_c4_g4_i3.p1","CAE1258858.1",80.8,385,1.72e-238,665,0
"741","ES1_JR_TRINITY_DN105853_c0_g1_i1.p1","CAE1226617.1",84.9,365,2.35e-231,654,0
"742","ES1_JR_TRINITY_DN15789_c2_g1_i1.p1","CAE1236816.1",84.5,264,1.86e-157,456,0
"743","ES2_JR_TRINITY_DN13715_c0_g1_i2.p1","CAI9716276.1",31.4,159,1.06e-13,85.1,0
"744","ES2_JR_TRINITY_DN174247_c0_g1_i1.p1","CAE1266532.1",63.2,117,2.01e-57,187,0
"745","ES1_JR_TRINITY_DN5744_c0_g1_i11.p1","CAI9737409.1",60.8,199,1.12e-51,181,0
"746","ES2_JR_TRINITY_DN9500_c0_g1_i1.p1","CAI9729067.1",76.8,495,7.9e-300,830,0
"747","ES1_JR_TRINITY_DN1713_c0_g1_i1.p1","CAE1246888.1",38.1,706,1.12e-145,444,0
"748","ES1_JR_TRINITY_DN264_c0_g1_i1.p1","CAE1309418.1",79,252,8.67e-101,321,0
"749","ES2_JR_TRINITY_DN21345_c0_g1_i1.p1","CAE1298140.1",80.5,267,5.44e-163,464,0
"750","ES2_JR_TRINITY_DN27183_c0_g1_i1.p1","CAE1328965.1",59.2,223,2.34e-83,263,0
"751","ES2_JR_TRINITY_DN954_c3_g1_i2.p1","CAE1277609.1",50.3,189,3.74e-61,199,0
"752","ES2_JR_TRINITY_DN14666_c0_g1_i1.p1","CAE1238891.1",85.9,99,1.41e-46,172,0
"753","HM2_PD_TRINITY_DN4535_c0_g1_i1.p1","XP_014781514.1",79.7,1160,0,1617,0
"754","HM2_PD_TRINITY_DN4489_c0_g1_i1.p1","XP_014785782.1",78,1061,0,1080,0
"755","HM2_PD_TRINITY_DN41439_c0_g1_i1.p1","XP_014790950.1",92.9,646,0,1251,0
"756","HM1_PD_TRINITY_DN45940_c0_g1_i1.p1","XP_014773468.1",84.1,648,0,1143,0
"757","HM2_PD_TRINITY_DN2781_c0_g1_i2.p1","XP_014777862.1",72,640,0,997,0
"758","HM2_PD_TRINITY_DN1282_c0_g1_i8.p1","XP_029645281.1",77.4,1946,0,2627,0
"759","HM3_PD_TRINITY_DN4277_c0_g2_i4.p1","XP_029638726.1",89.8,884,0,963,0
"760","HM1_PD_TRINITY_DN11079_c0_g2_i1.p1","XP_014773178.1",77.2,492,2.13e-299,827,0
"761","HM3_PD_TRINITY_DN5595_c5_g1_i1.p1","XP_014776300.1",92.6,880,0,1570,0
"762","HM3_PD_TRINITY_DN109583_c0_g1_i1.p1","XP_052823062.1",92.4,1474,0,2620,0
"763","HM3_PD_TRINITY_DN12683_c0_g1_i33.p2","CAI9728176.1",89.4,756,0,1346,0
"764","HM3_PD_TRINITY_DN96980_c0_g1_i1.p1","CAI9730593.1",96.1,1017,0,1985,0
"765","HM1_PD_TRINITY_DN497_c0_g1_i1.p1","XP_014781344.1",86.2,843,1.46e-276,797,0
"766","HM3_PD_TRINITY_DN1454_c9_g1_i1.p1","CAI9725852.1",91.2,1144,0,1187,0
"767","HM2_PD_TRINITY_DN3242_c4_g1_i1.p1","AHX00578.1",88.1,412,2.82e-261,724,0
"768","HM1_PD_TRINITY_DN8175_c0_g2_i3.p1","XP_029634984.2",93.6,1101,0,2013,0
"769","HM2_PD_TRINITY_DN4184_c0_g2_i8.p1","XP_014781787.1",77.4,492,2.53e-294,814,0
"770","HM1_PD_TRINITY_DN8248_c0_g1_i1.p1","XP_029639699.1",74.1,347,8.76e-204,587,0
"771","HM2_PD_TRINITY_DN2752_c0_g1_i3.p1","CAI9731451.1",90.6,934,0,1765,0
"772","HM3_PD_TRINITY_DN2707_c1_g1_i1.p1","CAI9718836.1",84.2,1684,0,2735,0
"773","HM3_PD_TRINITY_DN2397_c2_g1_i2.p1","CAI9743367.1",83,524,0,890,0
"774","HM3_PD_TRINITY_DN15427_c0_g1_i1.p1","XP_036367304.1",96.7,731,0,1538,0
"775","HM3_PD_TRINITY_DN3527_c4_g1_i1.p1","CAI9738799.1",85.5,822,0,1410,0
"776","HM1_PD_TRINITY_DN19658_c0_g1_i1.p1","XP_014783603.1",93.8,688,0,1265,0
"777","HM2_PD_TRINITY_DN1351_c2_g2_i2.p1","XP_014771710.1",85.8,183,1.53e-99,311,0
"778","HM1_PD_TRINITY_DN44381_c0_g1_i1.p1","XP_014789765.1",92.5,482,0,876,0
"779","HM1_PD_TRINITY_DN18398_c0_g1_i1.p1","XP_014771098.1",89.7,360,2.27e-243,674,0
"780","HM3_PD_TRINITY_DN2800_c0_g1_i2.p1","XP_036360555.1",84.3,1964,0,2873,0
"781","HM3_PD_TRINITY_DN3467_c0_g1_i1.p1","XP_029643435.1",92.1,921,0,1705,0
"782","HM1_PD_TRINITY_DN79582_c0_g1_i1.p1","XP_029658109.2",89.9,526,0,961,0
"783","HM1_PD_TRINITY_DN66783_c0_g1_i1.p1","XP_014768645.1",91.5,284,1.46e-194,544,0
"784","HM1_PD_TRINITY_DN3640_c2_g1_i1.p1","XP_029635402.1",90.5,539,0,1041,0
"785","HM1_PD_TRINITY_DN1026_c0_g1_i13.p1","CAI9739629.1",74.1,2343,0,3112,0
"786","HM3_PD_TRINITY_DN13651_c0_g1_i2.p1","XP_014781594.1",89.7,418,1.69e-260,722,0
"787","HM1_PD_TRINITY_DN3446_c0_g1_i1.p1","XP_029635394.1",96.5,426,1.49e-306,839,0
"788","HM3_PD_TRINITY_DN2172_c0_g2_i1.p1","XP_036368773.1",93.9,537,0,1043,0
"789","HM1_PD_TRINITY_DN77377_c0_g1_i1.p1","XP_014773316.1",93,457,0,881,0
"790","HM2_PD_TRINITY_DN249_c0_g1_i61.p1","XP_036364381.1",68,300,1.15e-131,439,0
"791","HM2_PD_TRINITY_DN4184_c0_g2_i1.p1","XP_014781787.1",82.5,355,4.89e-225,633,0
"792","HM1_PD_TRINITY_DN44707_c0_g1_i1.p1","XP_029651218.1",82.2,314,1.49e-186,526,0
"793","HM1_PD_TRINITY_DN706_c0_g3_i6.p1","XP_014779763.1",87.8,1258,0,955,0
"794","HM1_PD_TRINITY_DN706_c0_g3_i2.p1","XP_014779757.1",86.5,1280,0,951,0
"795","HM3_PD_TRINITY_DN804_c0_g1_i1.p1","XP_036356791.1",63,1423,0,1189,0
"796","HM1_PD_TRINITY_DN134_c0_g2_i3.p1","XP_029633229.1",81,979,0,1046,0
"797","HM3_PD_TRINITY_DN4612_c0_g1_i1.p1","XP_014767793.1",98.9,265,5.26e-109,326,0
"798","HM1_PD_TRINITY_DN9859_c0_g2_i2.p1","XP_014781544.1",90.3,1779,0,2896,0
"799","HM3_PD_TRINITY_DN3327_c1_g1_i1.p1","XP_014778726.1",92.8,3512,0,6941,0
"800","HM2_PD_TRINITY_DN1351_c2_g2_i1.p1","XP_014771710.1",85.8,183,3.45e-99,311,0
"801","HM3_PD_TRINITY_DN6680_c2_g1_i2.p1","XP_014775692.1",89.5,410,1.21e-266,737,0
"802","HM2_PD_TRINITY_DN2183_c0_g1_i2.p1","XP_029651661.2",97.2,215,4.67e-127,393,0
"803","HM1_PD_TRINITY_DN10704_c0_g1_i1.p1","XP_052822895.1",86,401,7.75e-258,714,0
"804","HM3_PD_TRINITY_DN43_c1_g1_i51.p1","CAI9741261.1",90.6,4865,0,8062,0
"805","HM1_PD_TRINITY_DN43_c0_g1_i4.p1","XP_014778358.1",86.9,413,6.83e-258,715,0
"806","HM1_PD_TRINITY_DN3968_c0_g1_i2.p1","XP_029651661.2",95,221,5.78e-128,395,0
"807","HM1_PD_TRINITY_DN2469_c1_g1_i2.p1","XP_029656226.1",71.4,213,3.83e-104,311,0
"808","HM1_PD_TRINITY_DN2653_c2_g1_i4.p1","CAI9734207.1",92,837,0,1598,0
"809","HM3_PD_TRINITY_DN16943_c0_g1_i1.p1","CAI9744255.1",50,158,7.74e-39,141,0
"810","HM1_PD_TRINITY_DN56962_c0_g1_i1.p1","XP_052824422.1",87.3,157,4.14e-82,275,0
"811","HM3_PD_TRINITY_DN13352_c0_g1_i1.p2","XP_014768919.1",94.9,175,8.08e-110,348,0
"812","HM3_PD_TRINITY_DN15359_c0_g1_i1.p1","QHX41555.1",93.8,610,0,1208,0
"813","HM1_PD_TRINITY_DN3566_c0_g1_i4.p1","XP_029643608.1",84.6,435,1.78e-282,779,0
